Content-Container(e1,e2)	The <e1> fridge </e1> was inside a <e2> mahogany case </e2>.
Content-Container(e1,e2)	The <e1> bomb </e1> was contained in a large white <e2> truck </e2> and consisted of a fertilizer device wrapped with a detonation cord made from Semtex.
Entity-Destination(e1,e2)	We inserted <e1> marks </e1> into the heap profiling <e2> output </e2> programmatically.
Other	Stack gummy savers with a little frosting in between to make a <e1> smoke </e1> <e2> stack </e2> on the engine.
Component-Whole(e2,e1)	Our experience extends to 15 years continued promotion of this <e1> archipelago </e1> of nine <e2> islands </e2>.
Component-Whole(e2,e1)	Cabaret is a form of <e1> entertainment </e1> featuring <e2> comedy </e2>, song, dance, and theatre.
Entity-Destination(e1,e2)	I've obediently banked in all his cash into my account and put a big fat <e1> cheque </e1> into his <e2> casket </e2>.
Other	His new research shows that the tree <e1> trunks </e1> in the <e2> forest </e2> act like hot water bottles.
Member-Collection(e2,e1)	The county fair drew a large <e1> crowd </e1> of USDA <e2> employees </e2>.
Member-Collection(e2,e1)	I also have a full <e1> unit </e1> of blighted <e2> swordsmen </e2> and the blessing of vengeance on my to seal shelf.
Product-Producer(e2,e1)	The <e1> scientist </e1> synthesizes a <e2> copy </e2> of the magical red ball by using a few fragments that were left on the grandfather's hand.
Other	The <e1> author </e1> cites the <e2> case </e2> of an American citizen during the general war.
Cause-Effect(e2,e1)	Every child and young person seen at Starship with <e1> intoxication </e1> from alcohol or illicit <e2> drug use </e2> had a social work assessment before leaving the hospital.
Entity-Origin(e1,e2)	The real <e1> danger </e1> comes from fossil <e2> fuel </e2> firms that, like big tobacco corporations decades ago, know full well the lethal potential of their products.
Product-Producer(e2,e1)	<e1> Scientists </e1> have succeeded in creating the first <e2> transistor </e2> made from a single molecule.
Instrument-Agency(e2,e1)	The French <e1> army </e1> made use of a nerve <e2> gas </e2> obtained from prussic acid.
Other	As longtime publishers in the healthcare industry, we, too, are skeptical about the <e1> glut </e1> of <e2> startups </e2> in this area.
Component-Whole(e1,e2)	Now, your earlobe can never escape because this brass knuckle stud is attached to a chain attached to a cuff that affixes to the <e1> helix </e1> of the <e2> ear </e2>.
Product-Producer(e2,e1)	The fuel processor <e1> system </e1> of the invention generates <e2> hydrogen </e2> from a hydrocarbon compound or from mixtures of hydrocarbon compounds.
Instrument-Agency(e2,e1)	Dianetics appealed to a broad range of <e1> people </e1> who used <e2> instructions </e2> from the book and applied the method to each other, becoming practitioners themselves.
Entity-Origin(e1,e2)	As a form, the <e1> oratorio </e1> originated in seventeenth <e2> century </e2>.
Product-Producer(e2,e1)	Caryn James, a film <e1> critic </e1> for The New York Times, has just completed a <e2> novel </e2>.
Instrument-Agency(e2,e1)	<e1> Sea otters </e1> often swim with a <e2> stone </e2> on their stomachs, which they use to crack abalone.
Content-Container(e1,e2)	When recruits were paid a shilling for signing on to the Royal Navy, press gangs tricked men into committing themselves to service by passing them the <e1> coin </e1> in a <e2> tankard </e2> of beer.
Other	A <e1> handful </e1> of <e2> countries </e2> blocked a legally binding deal on climate change in Copenhagen and the talks process needs urgent reform to prevent something similar happening again.
Content-Container(e1,e2)	The second <e1> router </e1> was in a <e2> box </e2> under the overhang of the bathrooms at the top part of the map.
Product-Producer(e1,e2)	Her dad was an <e1> umbrella </e1> <e2> maker </e2> and spoke loudly about honor.
Component-Whole(e2,e1)	It shows a <e1> sailor </e1> with a <e2> list </e2> of crossed-out ex-girlfriend's names going down his arm.
Member-Collection(e2,e1)	In these ancient religions the clergymen were women, the monks were a <e1> sorority </e1> of <e2> lesbians </e2>, who were a subculture that lived near the ordinary local people, but were not really part of the community.
Other	The <e1> initiative </e1>, called The Big Switch Off, aims to reduce <e2> energy consumption </e2> by turning off lights and unused appliances.
Entity-Destination(e1,e2)	The <e1> spam </e1> already travels into the <e2> mail server </e2>.
Content-Container(e1,e2)	That <e1> box </e1> was in a <e2> chest </e2> that had been locked since at least the early 1800s.
Message-Topic(e1,e2)	The <e1> book </e1> asserts the <e2> notion </e2> that men and women are as different as beings from other planets.
Component-Whole(e2,e1)	A lamp holder <e1> structure </e1> of the present invention is comprised of: a cup-shaped <e2> base </e2>; a circuit board and two elastic conducting devices mounted inside the cup-shaped base; and at least one light-emitting device mounted on the circuit board.
Entity-Origin(e1,e2)	The leeward <e1> barchan </e1> runs away from the windward <e2> barchan </e2> because of the inverse relationship between velocity and height.
Member-Collection(e2,e1)	Such an uneasy state of affairs existed until the fifth century, when the empire's Rhine barrier was breached, allowing a vast, mixed <e1> horde </e1> of <e2> barbarians </e2> to stream into Italy, thereby laying the groundwork for the kingdoms that would eventually come to dominate the European continent.
Instrument-Agency(e2,e1)	Just as the <e1> terrorists </e1> took advantage of our relatively open and porous educational, aviation, and immigration <e2> systems </e2> to plan and execute their attacks, they also likely took advantage of our financial systems.
Component-Whole(e1,e2)	The neonatal heel prick is a common procedure for taking a blood sample from the <e1> heel </e1> of newborn <e2> infants </e2>.
Other	It is the oldest and largest international research consortium aimed at understanding the <e1> challenges </e1> facing the global automotive <e2> industry </e2>.
Component-Whole(e1,e2)	To enable the animal to perform this wide range of activities, the <e1> beak </e1> of the <e2> chicken </e2> has an extensive nerve supply with numerous mechanoreceptors, thermoreceptors, and nociceptors.
Message-Topic(e1,e2)	Legal <e1> regulations </e1> applying to <e2> professional corporations </e2> typically differ in important ways from those applying to other corporations.
Component-Whole(e1,e2)	They come up from under the thwart, through the traveler and out through the eyestrap to the clam <e1> cleats </e1> located on either side of the <e2> boat </e2>.
Entity-Destination(e1,e2)	<e1> Supernatant </e1> was removed into a 100 mL polypropylene centrifuge <e2> tube </e2>.
Entity-Origin(e2,e1)	<e1> Eucharist </e1> is the source of the Church's <e2> mission </e2>.
Component-Whole(e1,e2)	Leave the comfort food on the <e1> shelves </e1> in the <e2> supermarket </e2>, buy extra fruit and veg, that way you gorge on healthy stuff, It does work trust me, I do it often.
Entity-Destination(e1,e2)	My new <e1> boss </e1> moved into his <e2> office </e2> yesterday.
Entity-Destination(e1,e2)	This <e1> issue </e1> has been sent to the <e2> printer </e2>.
Component-Whole(e2,e1)	The <e1> marriage </e1> combined the <e2> rituals </e2> of the Mangalorean bride and the Punjabi groom with the vows being exchanged according to South Indian tradition while pre-wedding rituals like 'Mehendi' and 'Sangeet' conducted as per Punjabi tradition.
Other	The <e1> decline </e1> of the old ideologies has made many of the old Left-Right <e2> arguments </e2> redundant.
Other	The <e1> kitchen </e1> contained primarily <e2> drug paraphernalia </e2>.
Member-Collection(e2,e1)	A decade later, with a growing <e1> congregation </e1> of several hundred <e2> worshippers </e2>, the mosque was ready to expand.
Member-Collection(e2,e1)	It is okay to have a <e1> bale </e1> of <e2> turtles </e2> for pets, but they must be free of salmonella bacteria.
Other	The illustrators <e1> section </e1> has been brought into the new web <e2> format </e2>.
Component-Whole(e2,e1)	Drawings, backgrounds and decorations are placed over the complete height of the <e1> train </e1> <e2> wagon </e2>, but don't cover the entire width of the train wagon.
Entity-Origin(e1,e2)	Things reach a head when the capricious <e1> youngster </e1> runs away from the Jeffersons' <e2> apartment </e2>.
Component-Whole(e1,e2)	In a similar context, this circuit has followed the rule that <e1> reinstatement </e1> is a basic element of the appropriate <e2> remedy </e2> in wrongful employee discharge cases.
Product-Producer(e1,e2)	The <e1> book </e1> by the death-march <e2> survivor </e2> constitutes the basis of the case.
Entity-Destination(e1,e2)	She placed the <e1> bread </e1> in a serving <e2> basket </e2> and passed it around the classroom.
Other	The heaviest <e1> rain </e1> fell from an <e2> area </e2> from Roane and Clay Counties northeastward across Braxton, Gilmer and Lewis Counties and into Southern Harrison county.
Message-Topic(e1,e2)	We have provided detailed <e1> instructions </e1> setting out each <e2> step </e2> you need to follow in order to carry out your own DNA sample collection.
Product-Producer(e1,e2)	These are new sorts of sponsors for us, a shoe company and a <e1> furniture </e1> <e2> maker </e2>.
Component-Whole(e2,e1)	Typhoon was a dapple-gray <e1> gelding </e1> with small splashes of brown around his <e2> nuzzle </e2> and his hind end.
Other	We saved the <e1> planet </e1> from the imperialist <e2> threat </e2>.
Other	Since this afternoon the <e1> models </e1> have come into somewhat better <e2> agreement </e2>.
Content-Container(e1,e2)	When I opened the box, the <e1> cheesecake </e1> was inside a silver foil <e2> container </e2>.
Other	The <e1> scan </e1> started at the rest <e2> potential </e2> toward the positive direction.
Member-Collection(e2,e1)	A second significant recent institutional development has been the establishment of an EU <e1> network </e1> of independent <e2> experts </e2> on fundamental rights.
Instrument-Agency(e2,e1)	One man pours on a liquid while the other <e1> man </e1> stirs the mixture with a wooden <e2> paddle </e2> or spatula.
Content-Container(e1,e2)	The <e1> thermocouple </e1> was in a <e2> box </e2> (to prevent it from being sprayed with liquid nitrogen) and in a small block of thermal insulation (to reduce excessive cycling).
Product-Producer(e1,e2)	The Banko <e1> kilns </e1> were founded by the <e2> potter </e2> Nunami Ro-zan (1718-77) who often imitated the work of Kenzan (1663-1743).
Cause-Effect(e2,e1)	You counted almost thirty-three honorable punches and kicks thrown in this clip of little kid <e1> screaming </e1> after the terrible <e2> fight </e2>.
Instrument-Agency(e1,e2)	Pot supports are used in the <e1> stove </e1> to protect the <e2> cook </e2> from the heat.
Entity-Destination(e1,e2)	The <e1> meeting </e1> was postponed to a <e2> later date </e2>.
Cause-Effect(e2,e1)	The <e1> grief </e1> from sudden <e2> death </e2> is completely different from expected death, when families have time to prepare and say goodbye.
Other	InterSense, Inc., a market leader in precision motion technology, today announced that Hydro, a leading <e1> offshore </e1> <e2> producer </e2> of oil and gas, has installed its tenth InterSense IS-900 Precision Motion Tracking System as part of Hydro's large scale immersive visualization rooms.
Entity-Destination(e1,e2)	We placed the <e1> burlap </e1> into the <e2> bucket </e2> as lining.
Content-Container(e1,e2)	The <e1> game </e1> was sealed in the original <e2> packing </e2>, unopened and untouched.
Cause-Effect(e1,e2)	When I start the engine the <e1> car </e1> makes a screaching <e2> sound </e2>.
Product-Producer(e2,e1)	The <e1> media </e1> then creates a self fulfilling prophesy with constant <e2> reports </e2> of doom and gloom and individuals also pull their money out of the targeted bank.
Entity-Origin(e1,e2)	Pilot-money <e1> manager </e1> who bailed out of <e2> plane </e2> over Shelby County says in letter he "snapped".
